	0
YEL012W_fc_intermediate_1	1
YEL013W_fc	1
YEL015W_fc	1
YEL017W_fc	1
YEL021W_fc	1
YEL021W_fc_intermediate_1	1
YEL024W_fc	1
YEL026W_fc	1
YEL027W_fc	1
YEL031W_fc	1
YEL032W_fc	1
YEL033W_fc	1
YEL033W_fc_intermediate_1	1
YEL034W_fc	1
YEL036C_fc	1
YEL037C_fc	1
YEL038W_fc	1
YEL039C_fc	1
YEL040W_fc	1
YEL040W_fc_intermediate_1	1
YEL040W_fc_intermediate_2	1
YEL042W_fc	1
YEL044W_fc	1
YEL044W_fc_andNotIntermediate	1
YEL044W_fc_intermediate_1	1
YEL046C_fc	1
YEL046C_fc_andNotIntermediate	1
YEL046C_fc_intermediate_1	1
YEL046C_fc_intermediate_2	1
YEL046C_fc_intermediate_3	1
YEL050C_fc	1
YEL051W_fc	1
YEL052W_fc	1
YEL054C_fc	1
YEL054C_fc_intermediate_1	1
YEL055C_fc	1
YEL056W_fc	1
YEL056W_fc_intermediate_1	1
YEL058W_fc	1
YEL060C_fc	1
YEL060C_fc_andNotIntermediate	1
YEL060C_fc_intermediate_1	1
YEL060C_fc_intermediate_2	1
YEL060C_fc_intermediate_3	1
YEL060C_fc_intermediate_4	1
YEL066W_fc	1
YEL071W_fc	1
YEL071W_fc_intermediate_1	1
YEL071W_fc_intermediate_2	1
YEL071W_fc_intermediate_3	1
YEL072W_fc	1
YER001W_fc	1
YER001W_fc_intermediate_1	1
YER002W_fc	1
YER003C_fc	1
YER004W_fc	1
YER004W_fc_andNotIntermediate	1
YER004W_fc_intermediate_1	1
YER006W_fc	1
YER009W_fc	1
YER010C_fc	1
YER012W_fc	1
YER017C_fc	1
YER020W_fc	1
YER021W_fc	1
YER023W_fc	1
YER024W_fc	1
YER025W_fc	1
YER025W_fc_andNotIntermediate	1
YER025W_fc_intermediate_1	1
YER025W_fc_intermediate_2	1
YER026C_fc	1
YER027C_fc	1
YER029C_fc	1
YER031C_fc	1
YER035W_fc	1
YER035W_fc_intermediate_1	1
YER036C_fc	1
YER037W_fc	1
YER037W_fc_intermediate_1	1
YER037W_fc_intermediate_2	1
YER040W_fc	1
YER043C_fc	1
YER043C_fc_intermediate_1	1
YER043C_fc_intermediate_2	1
YER044C_fc	1
YER044C_fc_intermediate_1	1
YER044C_fc_intermediate_2	1
YER044C_fc_intermediate_3	1
YER046W_fc	1
YER048C_fc	1
YER049W_fc	1
YER052C_fc	1
YER053C_fc	1
YER053C_fc_andNotIntermediate	1
YER053C_fc_intermediate_1	1
YER053C_fc_intermediate_2	1
YER053C_fc_intermediate_3	1
YER055C_fc	1
YER055C_fc_intermediate_1	1
YER055C_fc_intermediate_2	1
YER056C_fc	1
YER056C_fc_intermediate_1	1
YER056C_fc_intermediate_2	1
YER057C_fc	1
YER062C_fc	1
YER062C_fc_andNotIntermediate	1
YER062C_fc_intermediate_1	1
YER062C_fc_intermediate_2	1
YER063W_fc	1
YER065C_fc	1
YER067W_fc	1
YER067W_fc_andNotIntermediate	1
YER067W_fc_intermediate_1	1
YER068W_fc	1
YER069W_fc	1
YER070W_fc	1
YER072W_fc	1
YER072W_fc_intermediate_1	1
YER072W_fc_intermediate_2	1
YER073W_fc	1
YER073W_fc_intermediate_1	1
YER074W_fc	1
YER078C_fc	1
YER079W_fc	1
YER079W_fc_intermediate_1	1
YER080W_fc	1
YER081W_fc	1
YER083C_fc	1
YER086W_fc	1
YER088C_fc	1
YER089C_fc	1
YER090W_fc	1
YER091C_fc	1
YER091C_fc_intermediate_1	1
YER091C_fc_intermediate_2	1
YER091C_fc_intermediate_3	1
YER092W_fc	1
YER094C_fc	1
YER095W_fc	1
YER095W_fc_andNotIntermediate	1
YER095W_fc_intermediate_1	1
YER099C_fc	1
YER100W_fc	1
YER102W_fc	1
YER103W_fc	1
YER103W_fc_intermediate_1	1
YER107C_fc	1
YER110C_fc	1
YER111C_fc	1
YER115C_fc	1
YER116C_fc	1
YER117W_fc	1
YER118C_fc	1
YER119C_fc	1
YER120W_fc	1
YER122C_fc	1
YER123W_fc	1
YER124C_fc	1
YER124C_fc_intermediate_1	1
YER125W_fc	1
YER126C_fc	1
YER130C_fc	1
YER131W_fc	1
YER131W_fc_intermediate_1	1
YER131W_fc_intermediate_2	1
YER133W_fc	1
YER134C_fc	1
YER136W_fc	1
YER141W_fc	1
YER141W_fc_intermediate_1	1
YER141W_fc_intermediate_2	1
YER142C_fc	1
YER143W_fc	1
YER144C_fc	1
YER145C_fc	1
YER145C_fc_intermediate_1	1
YER145C_fc_intermediate_2	1
YER145C_fc_intermediate_3	1
YER146W_fc	1
YER146W_fc_intermediate_1	1
YER146W_fc_intermediate_2	1
YER148W_fc	1
YER150W_fc	1
YER150W_fc_intermediate_1	1
YER150W_fc_intermediate_2	1
YER152C_fc	1
YER154W_fc	1
YER154W_fc_intermediate_1	1
YER154W_fc_intermediate_2	1
YER155C_fc	1
YER156C_fc	1
YER159C_fc	1
YER161C_fc	1
YER163C_fc	1
YER165W_fc	1
YER169W_fc	1
YER175C_fc	1
YER176W_fc	1
YER177W_fc	1
YER178W_fc	1
YER178W_fc_intermediate_1	1
YER183C_fc	1
YFL004W_fc	1
YFL005W_fc	1
YFL010C_fc	1
YFL014W_fc	1
YFL014W_fc_intermediate_1	1
YFL014W_fc_intermediate_2	1
YFL014W_fc_intermediate_3	1
YFL016C_fc	1
YFL016C_fc_intermediate_1	1
YFL017C_fc	1
YFL018C_fc	1
YFL021W_fc	1
YFL021W_fc_intermediate_1	1
YFL021W_fc_intermediate_2	1
YFL021W_fc_intermediate_3	1
YFL022C_fc	1
YFL022C_fc_intermediate_1	1
YFL022C_fc_intermediate_2	1
YFL028C_fc	1
YFL031W_fc	1
YFL037W_fc	1
YFL038C_fc	1
